City,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,Age
Woolston,Partial High School,Skilled Manual,M,S,0,1,0,0,58037,32
München,Partial College,Management,F,M,1,2,0,1,106062,32
Colombes,High School,Manual,M,S,0,1,0,0,28008,39
Ballard,Graduate Degree,Clerical,M,M,1,2,0,3,86828,65
Lavender Bay,Partial College,Skilled Manual,M,S,0,2,0,0,61109,43
Salem,Graduate Degree,Manual,F,M,1,1,1,2,35142,66
Bracknell,High School,Skilled Manual,F,M,0,2,0,0,59673,28
Coronado,Bachelors,Professional,M,M,1,3,1,2,133272,62
Pantin,Partial College,Clerical,M,S,1,3,0,1,81957,62
Hamburg,Partial College,Management,F,S,0,1,0,0,103314,31
Bendigo,Graduate Degree,Management,F,S,1,2,0,0,103546,38
Tremblay-en-France,Bachelors,Skilled Manual,M,M,0,0,1,1,58317,37
Concord,Bachelors,Skilled Manual,M,M,1,2,0,2,55825,65
Sydney,Graduate Degree,Manual,F,S,0,1,0,0,36367,39
London,Bachelors,Management,F,S,0,2,0,0,107852,36
Rhodes,Bachelors,Management,M,M,1,0,0,0,105888,29
Royal Oak,Partial High School,Manual,M,S,0,1,0,0,31956,49
Brisbane,High School,Clerical,F,M,0,0,0,0,83026,28
Townsville,Graduate Degree,Management,M,S,1,2,0,0,110808,38
Colomiers,Partial High School,Skilled Manual,F,M,1,1,2,2,51566,57
Lemon Grove,Bachelors,Professional,F,M,1,3,1,2,132962,41
Port Orchard,Graduate Degree,Professional,M,S,1,2,0,0,135064,52
Oak Bay,Graduate Degree,Professional,F,S,1,2,0,0,135997,52
Palo Alto,High School,Skilled Manual,F,S,0,1,0,0,57770,34
Coronado,Bachelors,Management,M,S,0,1,0,0,113290,32
Stuttgart,Partial College,Clerical,F,M,1,1,1,2,81214,63
Saint Germain en Laye,Bachelors,Clerical,F,M,1,2,0,2,80624,45
München,Bachelors,Management,F,S,1,2,0,1,106908,59
Brisbane,Bachelors,Skilled Manual,M,S,0,1,0,0,51796,40
Los Angeles,Graduate Degree,Clerical,M,M,1,2,1,2,80764,34
Gateshead,Partial High School,Manual,F,M,0,0,0,1,35297,41
Redmond,Partial College,Clerical,F,S,0,1,0,0,78604,28
Colma,Bachelors,Management,M,M,1,3,0,0,102869,42
Oak Bay,High School,Skilled Manual,M,M,1,1,1,2,62293,49
York,Partial College,Manual,M,S,0,1,0,0,34607,43
Bremerton,Partial College,Skilled Manual,F,M,1,2,1,2,53042,49
Melton,Bachelors,Management,F,S,0,1,0,0,106195,34
Downey,Partial College,Management,F,M,1,2,0,2,106360,53
Lincoln Acres,Partial College,Management,M,M,1,2,1,1,110288,47
Renton,Graduate Degree,Management,M,S,0,1,0,0,112590,33
Downey,Partial College,Manual,M,M,1,0,1,2,30844,56
Lakewood,Graduate Degree,Management,M,M,1,2,0,3,109611,65
Sooke,Partial College,Management,F,S,1,2,0,0,111685,38
National City,Graduate Degree,Manual,F,S,1,0,1,1,30259,66
Imperial Beach,Partial College,Clerical,M,S,0,2,0,0,82339,29
Burien,High School,Clerical,M,S,1,1,0,0,87633,43
Burlingame,Graduate Degree,Clerical,M,S,0,1,0,0,80782,36
Lebanon,Partial College,Skilled Manual,F,M,1,1,0,2,57125,49
Villeneuve-d'Ascq,Bachelors,Skilled Manual,M,S,0,2,0,0,56092,44
Ballard,Graduate Degree,Professional,F,M,1,2,0,0,131943,46
Coffs Harbour,Partial High School,Skilled Manual,M,M,1,2,0,2,52627,55
Beverly Hills,Partial College,Manual,M,M,1,1,0,2,26331,45
Cranbourne,Bachelors,Manual,M,S,0,1,0,0,27908,30
Berlin,High School,Skilled Manual,M,S,0,1,0,0,56751,39
Solingen,Bachelors,Manual,M,M,1,1,1,2,32619,51
Burlingame,Bachelors,Management,F,M,1,3,0,0,105983,40
Burlingame,Graduate Degree,Professional,F,M,1,1,1,2,128877,34
Findon,High School,Skilled Manual,F,S,1,2,1,1,55000,61
Newton,High School,Skilled Manual,F,S,0,1,0,0,50910,29
Paris,Partial College,Skilled Manual,M,M,1,2,1,1,57493,40
Essen,Partial College,Clerical,F,S,1,0,1,1,82095,63
Silverwater,Bachelors,Professional,M,S,0,2,0,0,136001,30
Lavender Bay,Bachelors,Management,F,M,1,3,0,0,104443,38
Seattle,Partial College,Skilled Manual,F,S,0,1,0,0,59013,41
Seattle,Partial College,Skilled Manual,M,S,0,1,0,0,54240,46
Edmonds,Bachelors,Management,F,M,1,3,0,2,103150,58
Walla Walla,Partial College,Management,F,M,1,3,1,2,108823,45
Pantin,High School,Clerical,F,S,0,2,0,0,77300,28
Spring Valley,Partial College,Clerical,F,M,1,2,0,1,82308,48
Lincoln Acres,Graduate Degree,Professional,F,S,1,1,0,0,129719,47
Leipzig,Partial College,Manual,M,S,0,0,0,0,36588,29
Berkeley,Partial College,Clerical,F,S,1,3,0,0,81053,48
Paris,High School,Manual,F,M,1,0,2,2,35160,53
München,High School,Skilled Manual,M,S,1,1,0,0,57655,48
Portland,Partial High School,Skilled Manual,M,M,1,2,1,1,61513,51
Kirkland,High School,Skilled Manual,M,M,0,0,0,0,57933,24
Vancouver,Bachelors,Management,M,S,0,2,0,0,104429,32
Burbank,High School,Manual,M,M,1,0,0,2,32494,53
Spokane,High School,Skilled Manual,F,M,0,2,0,0,51293,27
Darmstadt,Partial College,Clerical,M,M,1,3,1,2,78805,60
Erlangen,Partial High School,Manual,M,S,0,1,0,0,33244,25
Bellingham,Partial College,Manual,M,M,1,1,1,1,30115,43
Goulburn,Partial College,Skilled Manual,M,S,1,1,1,1,55404,58
Sunbury,Partial College,Manual,F,S,0,0,0,0,34165,52
Puyallup,High School,Skilled Manual,M,M,1,2,1,2,57132,49
Milton Keynes,Graduate Degree,Professional,M,S,1,2,0,0,132560,36
Burien,High School,Skilled Manual,M,M,1,1,1,2,53062,50
Westminster,Bachelors,Clerical,F,M,1,0,1,2,79950,62
Woodland Hills,Bachelors,Clerical,M,M,1,2,0,1,83167,42
Neunkirchen,Partial College,Clerical,M,S,1,0,0,0,77729,43
Cergy,Partial College,Skilled Manual,F,M,1,1,1,1,54058,51
Colma,Graduate Degree,Clerical,F,M,1,1,0,2,87071,46
Renton,High School,Manual,F,S,0,0,0,0,26818,30
Bremerton,Bachelors,Skilled Manual,M,M,1,0,0,2,52630,51
Paris,Partial College,Clerical,M,M,1,2,0,2,83410,49
Darlinghurst,Partial College,Clerical,F,M,1,2,1,2,83299,45
Torrance,Bachelors,Skilled Manual,F,S,1,1,1,1,54201,61
Oak Bay,Graduate Degree,Professional,F,S,1,2,0,0,133136,39
Metchosin,Partial High School,Skilled Manual,M,S,0,2,0,0,60371,26
Westminster,Partial College,Skilled Manual,F,M,1,1,1,2,55220,48
Salem,Partial College,Clerical,M,M,1,1,0,2,85098,45
Puyallup,Bachelors,Professional,M,S,1,2,0,0,129013,37
Portland,Bachelors,Management,F,S,0,2,0,0,106013,37
Downey,Partial College,Clerical,F,S,0,2,0,0,77922,28
Colomiers,Graduate Degree,Management,F,M,1,3,0,0,104734,36
Berkeley,Partial College,Clerical,F,S,0,2,0,0,83202,32
Sydney,High School,Skilled Manual,M,M,1,1,1,2,61391,61
N. Vancouver,High School,Clerical,F,S,1,0,0,0,82687,53
Erlangen,Partial College,Clerical,M,S,0,1,0,0,83361,30
Malabar,Bachelors,Skilled Manual,F,M,0,2,0,0,57161,31
Warrington,Graduate Degree,Management,F,M,1,3,1,2,109320,44
Newport Beach,Partial College,Manual,M,M,1,1,1,2,27866,45
Oak Bay,High School,Skilled Manual,F,S,1,1,0,0,53889,52
Caloundra,Partial High School,Skilled Manual,M,M,1,0,0,2,53916,58
Caloundra,High School,Skilled Manual,F,M,0,1,0,0,56880,26
Townsville,High School,Clerical,F,M,1,3,1,2,85533,48
W. Linn,Bachelors,Management,F,S,1,1,0,0,109072,42
Paris,Graduate Degree,Management,M,M,1,4,0,2,110148,43
Bremerton,Partial College,Management,F,M,1,2,1,2,103959,40
Edmonds,High School,Skilled Manual,F,S,0,1,0,0,54230,26
Port Orchard,Bachelors,Professional,F,S,1,2,0,0,133903,47
Colma,Bachelors,Clerical,M,S,1,1,0,0,79311,43
Glendale,Partial College,Clerical,F,M,1,2,0,2,84084,44
Fremont,Bachelors,Skilled Manual,M,S,0,2,0,0,54821,36
La Jolla,Partial College,Clerical,M,M,1,2,1,2,77748,50
Newcastle,High School,Manual,M,M,1,0,2,2,27122,59
Dresden,Partial College,Skilled Manual,M,S,0,0,0,0,62520,42
Cerritos,Partial College,Skilled Manual,F,S,0,1,0,0,55096,26
Langford,Bachelors,Clerical,M,M,1,2,1,2,83229,60
Malabar,Bachelors,Skilled Manual,F,M,1,0,0,3,60347,66
Salem,Partial College,Manual,F,M,0,0,1,1,27006,40
Saint Ouen,High School,Skilled Manual,M,S,1,0,0,0,56071,56
Lakewood,Partial College,Skilled Manual,M,S,1,0,0,0,51705,55
Novato,Graduate Degree,Clerical,M,M,1,0,1,2,87993,39
San Gabriel,Partial College,Clerical,F,M,1,2,0,2,81913,50
Melton,Bachelors,Skilled Manual,F,S,0,0,0,0,55838,41
Dresden,Partial College,Manual,F,S,0,1,0,0,32924,46
Kirkland,Bachelors,Professional,F,M,1,2,2,2,136633,45
Bremerton,Graduate Degree,Manual,M,M,1,1,0,3,28954,71
Oakland,Partial College,Clerical,M,M,1,1,0,1,78271,45
Yakima,Partial College,Skilled Manual,M,S,0,0,0,0,54082,31
Melton,Partial College,Management,F,S,1,2,0,0,102019,44
Gold Coast,Bachelors,Skilled Manual,M,M,1,1,0,2,58336,47
Rockhampton,Bachelors,Management,M,M,1,2,0,0,106235,38
Issaquah,Graduate Degree,Professional,M,M,1,1,0,2,132506,39
Mill Valley,Partial College,Skilled Manual,F,M,1,0,2,2,61547,48
Santa Cruz,Graduate Degree,Professional,M,S,1,2,1,1,134871,67
Esher-Molesey,High School,Skilled Manual,F,S,0,1,0,0,51970,36
Marysville,Graduate Degree,Professional,F,S,1,3,0,0,129017,34
Milton Keynes,High School,Skilled Manual,F,S,1,1,0,0,51980,56
Matraville,Bachelors,Management,F,S,0,1,0,0,107530,37
Santa Cruz,Graduate Degree,Clerical,M,M,1,1,0,1,80444,34
Coronado,Partial College,Management,F,S,1,2,0,0,105715,42
Colma,Graduate Degree,Clerical,M,S,1,0,0,1,77151,70
Imperial Beach,Bachelors,Clerical,F,M,1,1,0,2,81669,47
Milwaukie,Graduate Degree,Clerical,F,S,0,2,0,0,81432,38
Coffs Harbour,Bachelors,Manual,M,S,0,0,0,0,34298,29
Dunkerque,Bachelors,Management,F,M,1,1,0,2,107934,46
Port Hammond,Graduate Degree,Management,F,S,0,2,0,0,109457,31
Newport Beach,Bachelors,Skilled Manual,M,M,0,1,1,1,54266,35
Saint Germain en Laye,High School,Manual,F,S,0,0,0,0,26150,37
San Gabriel,Graduate Degree,Management,M,M,1,3,1,2,112302,38
Newport Beach,Graduate Degree,Clerical,F,M,1,3,1,1,81542,45
Metchosin,High School,Skilled Manual,M,M,1,2,1,2,51854,53
Spokane,Bachelors,Skilled Manual,F,S,0,0,0,0,54153,39
Milsons Point,Bachelors,Management,M,S,1,1,0,0,105736,41
Warrington,Partial College,Skilled Manual,F,S,0,2,0,0,54626,26
Coffs Harbour,Bachelors,Clerical,M,M,0,2,0,0,83144,27
N. Vancouver,Graduate Degree,Professional,M,M,1,2,2,2,135029,64
Burlingame,Bachelors,Skilled Manual,F,M,1,0,0,2,52476,58
Offenbach,Bachelors,Clerical,F,S,1,0,0,0,84807,51
Colma,High School,Manual,F,S,0,0,0,0,36634,29
National City,Bachelors,Clerical,F,S,0,3,0,0,84866,36
Newton,Bachelors,Clerical,M,M,1,1,1,2,79867,34
Sedro Woolley,Graduate Degree,Skilled Manual,M,M,1,0,0,2,51783,63
W. York,Graduate Degree,Skilled Manual,F,M,1,1,1,2,55768,61
Royal Oak,Partial College,Clerical,F,M,1,2,1,2,80690,46
Glendale,High School,Manual,F,M,0,0,0,0,30247,31
San Diego,Partial College,Clerical,M,M,1,2,0,2,83705,47
Coffs Harbour,Bachelors,Management,F,S,0,2,0,0,106597,34
Colma,Graduate Degree,Skilled Manual,F,M,0,0,1,2,60958,33
Renton,Bachelors,Management,M,S,1,2,0,0,111130,40
Concord,Bachelors,Skilled Manual,M,M,1,0,0,1,53604,40
Bellingham,High School,Skilled Manual,F,M,0,1,0,0,57269,30
Issaquah,Bachelors,Skilled Manual,M,S,0,2,0,0,61287,41
Vancouver,High School,Clerical,F,S,0,1,0,0,77098,29
Spokane,High School,Skilled Manual,M,M,0,2,0,0,52607,31
Burien,Bachelors,Professional,M,M,1,2,0,2,130743,52
Grossmont,High School,Skilled Manual,M,M,1,0,1,2,59358,44
Walla Walla,High School,Skilled Manual,M,M,1,0,1,1,54025,51
Victoria,Partial College,Clerical,F,M,1,2,1,2,79556,56
Rhodes,Bachelors,Professional,F,M,1,1,0,2,128521,65
Salzgitter,Partial College,Skilled Manual,M,M,1,1,1,2,51642,53
Billericay,Partial College,Skilled Manual,F,S,1,2,0,0,52484,53
Berlin,High School,Manual,M,S,0,0,0,0,30051,42
Langford,Partial High School,Manual,F,M,1,1,1,1,25495,48
Gold Coast,Bachelors,Professional,M,M,1,2,1,2,136250,62
Vancouver,Bachelors,Skilled Manual,F,S,0,0,0,0,51351,45
Woodland Hills,Bachelors,Professional,M,S,1,2,0,0,134516,42
North Sydney,Partial College,Skilled Manual,M,M,0,2,0,0,58340,32
Edmonds,Partial College,Clerical,M,M,1,3,1,2,78194,55
Lake Oswego,Graduate Degree,Manual,M,M,0,0,1,2,27849,35
Stoke-on-Trent,Partial High School,Manual,M,S,0,0,0,0,31315,32
Paris,Graduate Degree,Professional,F,M,1,2,2,2,133103,36
Paris,High School,Clerical,M,S,0,1,0,0,85953,36
Hof,High School,Clerical,F,S,0,0,0,0,78356,39
Everett,Graduate Degree,Professional,M,M,1,2,0,0,132022,39
Oxford,Bachelors,Management,F,M,1,2,0,0,103281,40
Billericay,Partial High School,Manual,M,S,0,0,0,0,36326,33
San Diego,Bachelors,Clerical,F,S,0,2,0,0,80632,39
Hervey Bay,Bachelors,Skilled Manual,F,M,1,1,0,1,54443,41
Chatou,Partial College,Skilled Manual,M,M,1,1,1,2,53720,39
Chula Vista,Bachelors,Professional,M,M,1,2,2,2,138094,52
Spokane,Bachelors,Clerical,F,S,0,2,0,0,81168,41
Salem,Bachelors,Management,M,M,1,0,0,2,110907,61
Cliffside,Partial College,Skilled Manual,M,M,1,2,0,2,55051,58
Pantin,High School,Skilled Manual,M,M,1,1,1,2,60460,55
Burien,Partial College,Management,M,M,1,1,0,2,113065,50
Erlangen,Partial College,Clerical,F,S,0,2,0,0,78659,34
Bottrop,High School,Skilled Manual,F,M,1,0,1,2,60825,39
Dunkerque,Partial College,Skilled Manual,M,S,0,0,0,0,51307,46
Everett,Graduate Degree,Professional,F,S,1,2,1,1,135850,64
Bottrop,High School,Skilled Manual,F,S,0,1,0,0,56139,41
Stoke-on-Trent,Partial College,Management,M,M,1,1,0,2,106292,55
Milwaukie,Graduate Degree,Clerical,M,M,1,0,1,2,86492,34
Gold Coast,Bachelors,Clerical,F,S,0,2,0,0,78270,37
Bellingham,Partial College,Clerical,F,M,1,2,1,2,76306,49
Metz,Partial High School,Manual,M,S,0,0,0,0,26611,30
San Diego,High School,Skilled Manual,F,S,0,1,0,0,53598,26
Lane Cove,Partial High School,Skilled Manual,F,M,1,1,1,2,55540,54
Renton,Graduate Degree,Professional,M,M,1,2,0,0,138508,34
Sedro Woolley,Graduate Degree,Management,F,M,1,0,0,3,103553,66
Hamburg,Bachelors,Management,M,S,1,2,0,0,106124,44
Frankfurt,Partial College,Clerical,M,M,0,3,0,0,87137,27
Hamburg,Partial High School,Skilled Manual,M,M,1,0,0,1,53321,38
High Wycombe,Bachelors,Management,F,S,0,2,0,0,106613,36
Gold Coast,High School,Skilled Manual,F,S,1,0,0,0,53096,47
Port Orchard,Partial High School,Skilled Manual,M,S,1,1,0,0,60793,48
Offenbach,Partial High School,Manual,M,S,0,1,0,0,30763,41
Burbank,Graduate Degree,Professional,F,M,1,0,0,2,135185,39
Glendale,Partial High School,Skilled Manual,M,S,1,1,0,0,57677,48
Lille,Bachelors,Clerical,M,M,1,1,1,2,78065,48
Burlingame,Bachelors,Clerical,M,M,1,2,1,2,82159,41
Geelong,Bachelors,Management,M,M,1,3,1,2,104925,40
Darmstadt,Partial College,Skilled Manual,F,S,0,2,0,0,53762,40
Darlinghurst,Bachelors,Clerical,F,M,0,0,0,0,85651,29
Dresden,Partial College,Clerical,F,M,1,1,1,1,78680,37
Esher-Molesey,Graduate Degree,Professional,M,M,1,2,0,2,138681,44
London,High School,Clerical,M,S,0,0,0,0,86677,40
London,Partial College,Clerical,F,S,1,0,0,0,84713,46
Woodland Hills,Partial College,Management,F,S,1,3,0,0,102387,56
East Brisbane,Partial High School,Manual,M,S,0,0,0,0,26017,35
Duesseldorf,Partial College,Clerical,M,S,0,2,0,0,78140,40
Hamburg,Partial College,Skilled Manual,F,M,1,2,0,2,57071,50
Vancouver,Graduate Degree,Manual,F,M,1,1,0,1,36338,52
Rhodes,Bachelors,Skilled Manual,F,M,1,2,0,1,55936,40
Renton,Bachelors,Skilled Manual,F,S,0,2,0,0,59776,40
Milwaukie,Partial High School,Skilled Manual,F,S,1,1,0,1,53200,59
East Brisbane,Partial College,Manual,M,M,1,0,2,2,33934,42
Duesseldorf,Graduate Degree,Skilled Manual,M,S,0,0,0,0,58601,35
Orleans,High School,Clerical,F,S,0,3,0,0,78945,38
Villeneuve-d'Ascq,High School,Manual,F,S,0,0,0,0,32044,29
Runcorn,Partial College,Management,F,S,1,2,1,1,112047,91
Münster,High School,Clerical,M,M,1,0,0,1,79952,33
Hof,Partial College,Manual,M,M,1,1,0,2,35702,49
Stuttgart,Partial College,Skilled Manual,F,M,1,0,1,2,57286,56
Concord,Graduate Degree,Skilled Manual,M,M,0,0,0,1,57036,36
Daly City,Bachelors,Clerical,F,M,1,2,1,1,82552,57
Coronado,Bachelors,Professional,M,M,1,1,1,2,130517,59
London,Bachelors,Manual,M,S,1,0,0,1,32990,61
Bellingham,High School,Manual,F,M,0,1,0,0,35976,31
Goulburn,Graduate Degree,Clerical,F,S,0,0,0,0,80570,38
Santa Monica,High School,Skilled Manual,F,M,1,1,0,2,58899,49
Grevenbroich,Partial High School,Skilled Manual,F,S,0,0,0,0,61956,32
Everett,High School,Manual,M,M,1,1,0,2,27870,49
Goulburn,Bachelors,Skilled Manual,M,S,0,2,0,0,51704,38
London,Partial College,Management,F,S,0,0,0,0,105891,28
Hobart,Partial College,Clerical,F,M,1,3,0,2,82216,44
Seattle,Bachelors,Skilled Manual,F,S,0,1,0,0,58372,39
Shawnee,Partial College,Skilled Manual,F,M,1,1,1,2,56626,68
Grossmont,Partial College,Skilled Manual,M,M,1,2,0,1,53367,41
Redwood City,Partial High School,Manual,M,S,0,0,0,0,28750,27
N. Vancouver,Graduate Degree,Skilled Manual,F,M,1,2,0,2,59994,61
Berlin,High School,Skilled Manual,M,M,1,2,1,2,54516,59
Bellingham,Partial High School,Skilled Manual,M,S,0,1,0,0,53750,27
Burien,Bachelors,Skilled Manual,F,S,0,0,0,0,57716,36
Colma,High School,Manual,M,M,0,0,0,0,28383,31
Frankfurt am Main,Partial High School,Manual,M,S,0,0,0,0,36569,32
Bellflower,Partial College,Management,M,M,1,3,2,2,109581,49
Novato,Partial College,Clerical,F,S,1,0,0,0,76776,56
Woodland Hills,Graduate Degree,Professional,F,S,1,2,0,0,137727,47
Novato,Partial College,Skilled Manual,F,M,1,2,1,2,55340,49
San Carlos,Partial College,Manual,F,S,0,1,0,0,27779,31
Burbank,Bachelors,Skilled Manual,M,M,1,0,0,2,56833,56
Verrieres Le Buisson,High School,Manual,F,S,0,0,0,0,33026,46
Coronado,Partial College,Clerical,F,M,1,1,0,1,78520,33
Novato,Graduate Degree,Skilled Manual,M,M,1,1,0,3,54573,72
Downey,Graduate Degree,Professional,M,M,1,1,1,2,128329,45
Cheltenham,High School,Skilled Manual,F,M,1,0,1,2,57689,51
Grossmont,Partial College,Manual,F,M,0,1,0,0,36575,28
Berlin,Partial High School,Manual,F,S,1,0,0,0,32896,56
Essen,Bachelors,Clerical,M,M,1,0,0,1,81432,46
Issaquah,Partial High School,Manual,M,M,1,1,1,2,34554,51
Paris,High School,Skilled Manual,M,S,1,1,1,1,54375,61
Spring Valley,Bachelors,Management,M,M,1,2,2,2,111563,47
West Covina,Partial College,Clerical,M,M,1,1,1,2,85889,58
Concord,High School,Skilled Manual,F,S,0,0,0,0,62077,44
Newport Beach,High School,Clerical,M,M,1,2,1,1,78344,43
Werne,Partial College,Skilled Manual,M,M,1,0,1,2,52349,51
Hamburg,Partial High School,Skilled Manual,F,S,0,1,0,0,61820,33
Burbank,Graduate Degree,Professional,M,M,1,3,1,2,128425,46
Les Ulis,Bachelors,Clerical,F,M,1,2,2,2,84402,43
North Sydney,Bachelors,Management,M,S,1,1,0,0,108902,41
Bellflower,Bachelors,Skilled Manual,M,S,0,2,0,0,62372,37
